Date,Price,Open,High,Low
2009-08-06,1.6200,1.6500,1.6900,1.5600
2009-08-07,1.6400,1.6100,1.6800,1.6000
2009-08-10,1.6000,1.6600,1.6600,1.5600
2009-08-11,1.5700,1.6000,1.6000,1.5500
2009-08-12,1.6000,1.6100,1.6200,1.5700
2009-08-13,1.6600,1.6000,1.6700,1.6000
2009-08-14,1.6600,1.6500,1.7000,1.6200
2009-08-17,1.6200,1.6300,1.6400,1.6200
2009-08-18,1.7100,1.6500,1.7200,1.6400
2009-08-19,1.7900,1.6800,1.7900,1.6800
2009-08-20,1.7800,1.7900,1.7900,1.7300
2009-08-21,1.7800,1.7800,1.8000,1.7600
2009-08-24,1.7500,1.7500,1.7800,1.7300
2009-08-25,1.7800,1.7600,1.7900,1.7500
2009-08-26,1.7800,1.7700,1.7800,1.7200
2009-08-27,1.8200,1.7800,1.8200,1.7500
2009-08-28,1.8500,1.8100,1.9000,1.8000
2009-08-31,1.8200,1.8300,1.8400,1.7800
2009-09-01,1.7800,1.8200,1.8400,1.6900
2009-09-02,1.7700,1.7800,1.8200,1.7500
2009-09-03,1.7500,1.8000,1.8000,1.7000
2009-09-04,1.7800,1.7700,1.8000,1.7500
2009-09-08,1.7700,1.7800,1.7900,1.7500
2009-09-09,1.7300,1.7800,1.7800,1.7200
2009-09-10,1.7100,1.7000,1.7500,1.7000
2009-09-11,1.6900,1.7000,1.7300,1.6500
2009-09-14,1.6700,1.6600,1.6900,1.6300
2009-09-15,1.7200,1.7300,1.7400,1.6600
2009-09-16,1.7600,1.7400,1.7700,1.7100
2009-09-17,1.6600,1.7700,1.7900,1.6500
2009-09-18,1.6200,1.6600,1.7000,1.6200
2009-09-21,1.6600,1.6300,1.6600,1.5900
2009-09-22,1.7300,1.7000,1.7400,1.6800
2009-09-23,1.7400,1.7600,1.7800,1.7300
2009-09-24,1.7500,1.7300,1.7800,1.6800
2009-09-25,1.7100,1.7500,1.7500,1.7100
2009-09-28,1.7600,1.7300,1.7800,1.7000
2009-09-29,1.7000,1.7500,1.7800,1.7000
2009-09-30,1.7100,1.7000,1.7300,1.7000
2009-10-01,1.6300,1.7000,1.7100,1.6200
2009-10-02,1.6100,1.6200,1.6400,1.5900
2009-10-05,1.6500,1.6100,1.6500,1.6000
2009-10-06,1.6500,1.6700,1.7200,1.6400
2009-10-07,1.6100,1.6600,1.6600,1.5900
2009-10-08,1.6000,1.6100,1.6200,1.5900
2009-10-09,1.6200,1.6000,1.6500,1.5900
2009-10-12,1.6300,1.6200,1.6500,1.6000
2009-10-13,1.6500,1.6200,1.6700,1.6100
2009-10-14,1.6900,1.6800,1.7000,1.6500
2009-10-15,1.7200,1.7400,1.7900,1.7100
2009-10-16,1.6400,1.7200,1.7200,1.6200
2009-10-19,1.6200,1.6500,1.6600,1.6100
2009-10-20,1.6500,1.6300,1.6700,1.6300
2009-10-21,1.6500,1.6400,1.6900,1.6100
2009-10-22,1.6300,1.6300,1.6300,1.5600
2009-10-23,1.6000,1.6100,1.6400,1.5900
2009-10-26,1.5800,1.5900,1.6100,1.5800
2009-10-27,1.5400,1.5900,1.6000,1.5300
2009-10-28,1.4900,1.5500,1.5500,1.4900
2009-10-29,1.5000,1.5000,1.5200,1.4700
2009-10-30,1.5000,1.5100,1.5200,1.4900
2009-11-02,1.4900,1.5100,1.5100,1.4700
2009-11-03,1.4500,1.4700,1.4800,1.4400
2009-11-04,1.4800,1.4600,1.5200,1.4300
2009-11-05,1.5300,1.5000,1.5700,1.4900
2009-11-06,1.5300,1.5300,1.5700,1.4900
2009-11-09,1.5700,1.5300,1.5700,1.5100
2009-11-10,1.5400,1.5700,1.5700,1.5200
2009-11-11,1.5400,1.5500,1.5500,1.5100
2009-11-12,1.5600,1.5400,1.5900,1.5400
2009-11-13,1.5600,1.5600,1.5700,1.5400
2009-11-16,1.6000,1.5600,1.6200,1.5500
2009-11-17,1.6100,1.5800,1.6200,1.5600
2009-11-18,1.6000,1.6100,1.6100,1.5800
2009-11-19,1.5600,1.5800,1.5900,1.5200
2009-11-20,1.5400,1.5600,1.5600,1.5300
2009-11-23,1.5200,1.5500,1.5600,1.5100
2009-11-24,1.5300,1.5100,1.5300,1.5000
2009-11-25,1.5500,1.5400,1.6000,1.5400
2009-11-27,1.5900,1.5100,1.5900,1.5100
2009-11-30,1.5900,1.5900,1.6000,1.5200
2009-12-01,1.6000,1.5900,1.6300,1.5900
2009-12-02,1.5600,1.6000,1.6100,1.5400
2009-12-03,1.5900,1.5600,1.5900,1.5600
2009-12-04,1.6500,1.6400,1.6700,1.5600
2009-12-07,1.6900,1.6500,1.6900,1.6500
2009-12-08,1.6800,1.6600,1.7000,1.6600
2009-12-09,1.6800,1.6600,1.6800,1.6300
2009-12-10,1.6800,1.6800,1.7000,1.6800
2009-12-11,1.6600,1.6700,1.6700,1.6500
2009-12-14,1.6900,1.6700,1.6900,1.6700
