Date,Price,Open,High,Low
2016-07-18,53.9600,53.7000,54.3400,53.5500
2016-07-19,53.0900,53.7100,53.9000,52.9300
2016-07-20,55.9100,56.1500,56.8400,55.5300
2016-07-21,55.8000,55.9800,56.2300,55.7600
2016-07-22,56.5700,56.0800,56.6300,55.7800
2016-07-25,56.7300,56.4700,56.7400,56.2600
2016-07-26,56.7600,56.5200,57.2900,56.5100
2016-07-27,56.1900,56.6100,56.8000,56.1100
2016-07-28,56.2100,56.0000,56.3700,55.7200
2016-07-29,56.6800,56.2600,56.7600,56.0500
2016-08-01,56.5800,56.6000,56.7500,56.1400
2016-08-02,56.5800,56.8500,56.9000,56.3100
2016-08-03,56.9700,56.6800,57.1100,56.4900
2016-08-04,57.3900,56.8000,57.5200,56.6700
2016-08-05,57.9600,57.6500,58.2100,57.4500
2016-08-08,58.0600,58.0600,58.0900,57.7800
2016-08-09,58.2000,58.1700,58.5000,58.0200
2016-08-10,58.0200,58.1600,58.3200,57.8200
2016-08-11,58.3000,58.0300,58.4500,58.0300
2016-08-12,57.9400,58.0300,58.1900,57.6200
2016-08-15,58.1200,58.0100,58.5000,57.9600
2016-08-16,57.4400,57.6100,57.6200,57.2700
2016-08-17,57.5600,57.5400,57.6800,57.2300
2016-08-18,57.6000,57.4200,57.7000,57.2700
2016-08-19,57.6200,57.4300,57.7300,57.2000
2016-08-22,57.6700,57.6000,57.7500,57.2600
2016-08-23,57.8900,57.9000,58.1800,57.8500
2016-08-24,57.9500,57.8000,58.0400,57.7200
2016-08-25,58.1700,57.8800,58.2900,57.7800
2016-08-26,58.0300,58.2800,58.7000,57.6900
2016-08-29,58.1000,58.1800,58.6000,58.1000
2016-08-30,57.8900,57.9800,58.1900,57.6100
2016-08-31,57.4600,57.6500,57.8000,57.3000
2016-09-01,57.5900,57.0100,57.8200,57.0100
2016-09-02,57.6700,57.6700,58.1900,57.4200
2016-09-06,57.6100,57.7800,57.8000,57.2100
2016-09-07,57.6600,57.4700,57.8400,57.4100
2016-09-08,57.4300,57.6300,57.7900,57.1800
2016-09-09,56.2100,56.7900,57.5200,56.2100
2016-09-12,57.0500,56.0000,57.2100,55.6100
2016-09-13,56.5300,56.5000,56.6500,56.0500
2016-09-14,56.2600,56.3900,56.6300,56.0300
2016-09-15,57.1900,56.1500,57.3500,55.9800
2016-09-16,57.2500,57.6300,57.6300,56.7500
2016-09-19,56.9300,57.2700,57.7500,56.8500
2016-09-20,56.8100,57.3500,57.3500,56.7500
2016-09-21,57.7600,57.5100,57.8500,57.0800
2016-09-22,57.8200,57.9200,58.0000,57.6300
2016-09-23,57.4300,57.8700,57.9100,57.3800
2016-09-26,56.9000,57.0800,57.1400,56.8300
2016-09-27,57.9500,56.9300,58.0600,56.6800
2016-09-28,58.0300,57.8800,58.0600,57.6700
2016-09-29,57.4000,57.8100,58.1700,57.2100
2016-09-30,57.6000,57.5700,57.7700,57.3400
2016-10-03,57.4200,57.4100,57.5500,57.0600
2016-10-04,57.2400,57.2700,57.6000,56.9700
2016-10-05,57.6400,57.2900,57.9600,57.2600
2016-10-06,57.7400,57.7400,57.8600,57.2800
2016-10-07,57.8000,57.8500,57.9800,57.4200
2016-10-10,58.0400,57.9100,58.3900,57.8700
2016-10-11,57.1900,57.8900,58.0200,56.8900
2016-10-12,57.1100,57.1100,57.2700,56.4000
2016-10-13,56.9200,56.7000,57.3000,56.3200
2016-10-14,57.4200,57.1200,57.7400,57.1200
2016-10-17,57.2200,57.3600,57.4600,56.8700
2016-10-18,57.6600,57.5300,57.9500,57.4100
2016-10-19,57.5300,57.4700,57.8400,57.4000
2016-10-20,57.2500,57.5000,57.5200,56.6600
2016-10-21,59.6600,60.2800,60.4500,59.4900
2016-10-24,61.0000,59.9400,61.0000,59.9300
2016-10-25,60.9900,60.8500,61.3700,60.8000
2016-10-26,60.6300,60.8100,61.2000,60.4700
2016-10-27,60.1000,60.6100,60.8300,60.0900
2016-10-28,59.8700,60.0100,60.5200,59.5800
2016-10-31,59.9200,60.1600,60.4200,59.9200
2016-11-01,59.8000,59.9700,60.0200,59.2500
2016-11-02,59.4300,59.8200,59.9300,59.3000
2016-11-03,59.2100,59.5300,59.6400,59.1100
2016-11-04,58.7100,58.6500,59.2800,58.5200
2016-11-07,60.4200,59.7800,60.5200,59.7800
2016-11-08,60.4700,60.5500,60.7800,60.1500
2016-11-09,60.1700,60.0000,60.5900,59.2000
2016-11-10,58.7000,60.4800,60.4900,57.6300
2016-11-11,59.0200,58.2300,59.1200,58.0100
2016-11-14,58.1200,59.0200,59.0800,57.2800
2016-11-15,58.8700,58.3300,59.4900,58.3200
2016-11-16,59.6500,58.9400,59.6600,58.8100
2016-11-17,60.6400,60.4100,60.9500,59.9700
2016-11-18,60.3500,60.7800,61.1400,60.3000
2016-11-21,60.8600,60.5000,60.9700,60.4200
2016-11-22,61.1200,60.9800,61.2600,60.8100
2016-11-23,60.4000,61.0100,61.1000,60.2500
2016-11-25,60.5300,60.3000,60.5300,60.1300
2016-11-28,60.6100,60.3400,61.0200,60.2100
2016-11-29,61.0900,60.6500,61.4100,60.5200
2016-11-30,60.2600,60.8600,61.1800,60.2200
2016-12-01,59.2000,60.1100,60.1500,58.9400
2016-12-02,59.2500,59.0800,59.4700,58.8000
2016-12-05,60.2200,59.7000,60.5900,59.5600
2016-12-06,59.9500,60.4300,60.4600,59.8000
2016-12-07,61.3700,60.0100,61.3800,59.8000
2016-12-08,61.0100,61.3000,61.5800,60.8400
2016-12-09,61.9700,61.1800,61.9900,61.1300
2016-12-12,62.1700,61.8200,62.3000,61.7200
2016-12-13,62.9800,62.5000,63.4200,62.2400
2016-12-14,62.6800,63.0000,63.4500,62.5300
2016-12-15,62.5800,62.7000,63.1500,62.3000
2016-12-16,62.3000,62.9500,62.9500,62.1200
2016-12-19,63.6200,62.5600,63.7700,62.4200
2016-12-20,63.5400,63.6900,63.8000,63.0300
2016-12-21,63.5400,63.4300,63.7000,63.1200
2016-12-22,63.5500,63.8400,64.1000,63.4100
2016-12-23,63.2400,63.4500,63.5400,62.8000
2016-12-27,63.2800,63.2100,64.0700,63.2100
2016-12-28,62.9900,63.4000,63.4000,62.8300
2016-12-29,62.9000,62.8600,63.2000,62.7300
2016-12-30,62.1400,62.9600,62.9900,62.0300
2017-01-03,62.5800,62.7900,62.8400,62.1300
2017-01-04,62.3000,62.4800,62.7500,62.1200
2017-01-05,62.3000,62.1900,62.6600,62.0300
2017-01-06,62.8400,62.3000,63.1500,62.0400
2017-01-09,62.6400,62.7600,63.0800,62.5400
2017-01-10,62.6200,62.7300,63.0700,62.2800
2017-01-11,63.1900,62.6100,63.2300,62.4300
2017-01-12,62.6100,63.0600,63.4000,61.9500
2017-01-13,62.7000,62.6200,62.8700,62.3500
2017-01-17,62.5300,62.6800,62.7000,62.0300
2017-01-18,62.5000,62.6700,62.7000,62.1200
2017-01-19,62.3000,62.2400,62.9800,62.2000
2017-01-20,62.7400,62.6700,62.8200,62.3700
2017-01-23,62.9600,62.7000,63.1200,62.5700
2017-01-24,63.5200,63.2000,63.7400,62.9400
2017-01-25,63.6800,63.9500,64.1000,63.4500
2017-01-26,64.2700,64.1200,64.5400,63.5500
2017-01-27,65.7800,65.3900,65.9100,64.8900
2017-01-30,65.1300,65.6900,65.7900,64.8000
2017-01-31,64.6500,64.8600,65.1500,64.2600
2017-02-01,63.5800,64.3600,64.6200,63.4700
2017-02-02,63.1700,63.2500,63.4100,62.7500
2017-02-03,63.6800,63.5000,63.7000,63.0700
2017-02-06,63.6400,63.5000,63.6500,63.1400
2017-02-07,63.4300,63.7400,63.7800,63.2300
2017-02-08,63.3400,63.5700,63.8100,63.2200
2017-02-09,64.0600,63.5200,64.4400,63.3200
2017-02-10,64.0000,64.2500,64.3000,63.9800
2017-02-13,64.7200,64.2400,64.8600,64.1300
2017-02-14,64.5700,64.4100,64.7200,64.0200
2017-02-15,64.5300,64.5000,64.5700,64.1600
2017-02-16,64.5200,64.7400,65.2400,64.4400
2017-02-17,64.6200,64.4700,64.6900,64.3000
2017-02-21,64.4900,64.6100,64.9500,64.4500
2017-02-22,64.3600,64.3300,64.3900,64.0500
2017-02-23,64.6200,64.4200,64.7300,64.1900
2017-02-24,64.6200,64.5300,64.8000,64.1400
2017-02-27,64.2300,64.5400,64.5400,64.0500
2017-02-28,63.9800,64.0800,64.2000,63.7600
2017-03-01,64.9400,64.1300,64.9900,64.0200
2017-03-02,64.0100,64.6900,64.7500,63.8800
2017-03-03,64.2500,63.9900,64.2800,63.6200
2017-03-06,64.2700,63.9700,64.5600,63.8100
2017-03-07,64.4000,64.1900,64.7800,64.1900
2017-03-08,64.9900,64.2600,65.0800,64.2500
2017-03-09,64.7300,65.1900,65.2000,64.4800
2017-03-10,64.9300,65.1100,65.2600,64.7500
2017-03-13,64.7100,65.0100,65.1900,64.5700
2017-03-14,64.4100,64.5300,64.5500,64.1500
2017-03-15,64.7500,64.5500,64.9200,64.2500
2017-03-16,64.6400,64.7500,64.7600,64.3000
2017-03-17,64.8700,64.9100,65.2400,64.6800
2017-03-20,64.9300,64.9100,65.1800,64.7200
2017-03-21,64.2100,65.1900,65.5000,64.1300
2017-03-22,65.0300,64.1200,65.1400,64.1200
2017-03-23,64.8700,64.9400,65.2400,64.7700
2017-03-24,64.9800,65.3600,65.4500,64.7600
2017-03-27,65.1000,64.6300,65.2200,64.3500
2017-03-28,65.2900,64.9600,65.4700,64.6500
2017-03-29,65.4700,65.1200,65.5000,64.9500
2017-03-30,65.7100,65.4200,65.9800,65.3600
2017-03-31,65.8600,65.6500,66.1900,65.4500
2017-04-03,65.5500,65.8100,65.9400,65.1900
