# rbi_ref.csv - manual USD->INR override rates (date,rate), consumed by schedule_fa.load_simple_rates.
# ESTIMATES of SBI TT BUY. SBI ratekeeper (sbi_usd.csv, from 2020-01-06) OVERRIDES any overlap here.
# Derivations, all calibrated to SBI TT BUY on 2020-2026 overlaps:
#   1) 2010-01-01..2018-07-24  from BankWise.xls (SBI TT mid):   TT BUY = xls_mid - 0.425
#   2) 2018-07-25..2020-01-05  from ECB ref rate (frankfurter.app): TT BUY = ecb - 0.39
#   3) 2020-2021 SBI non-publish OUTAGES (>=3 consecutive business days, e.g. COVID Apr-Jun 2020,
#      Aug 2021) also from ECB: TT BUY = ecb - 0.39. Normal 1-2 day holidays are left to the
#      loader working-day rule (nearest prior published rate) and are NOT filled here.
#   (ECB->TTbuy offset: median SBI_TTbuy - ECB = -0.393 over 185 overlapping 2020 days.)
# ESTIMATES ONLY - for a filed return use the exact SBI TT BUY from SBI daily PDF for the date.
date,rate
2010-01-01,46.23
2010-01-04,46.09
2010-01-05,45.78
2010-01-06,45.7
2010-01-07,45.45
2010-01-08,45.38
2010-01-11,44.94
2010-01-12,44.98
2010-01-13,45.26
2010-01-14,45.05
2010-01-15,45.25
2010-01-18,45.23
2010-01-19,45.2
2010-01-20,45.53
2010-01-21,45.55
2010-01-22,45.75
2010-01-25,45.76
2010-01-27,45.87
2010-01-28,45.89
2010-01-29,45.95
2010-02-01,45.92
2010-02-02,45.83
2010-02-03,45.62
2010-02-04,45.67
2010-02-05,46.14
2010-02-08,46.39
2010-02-09,46.26
2010-02-10,46.14
2010-02-11,46.04
2010-02-15,45.96
2010-02-16,45.76
2010-02-17,45.6
2010-02-18,45.8
2010-02-19,46.05
2010-02-22,45.73
2010-02-23,45.71
2010-02-24,45.83
2010-02-25,45.94
2010-02-26,45.8
2010-03-02,45.6
2010-03-03,45.48
2010-03-04,45.4
2010-03-05,45.36
2010-03-08,45.01
2010-03-09,45.12
2010-03-10,44.98
2010-03-11,45.05
2010-03-12,45.03
2010-03-15,45.16
2010-03-17,44.98
2010-03-18,45.07
2010-03-19,45.05
2010-03-22,45.07
2010-03-23,45.14
2010-03-25,45.21
2010-03-26,44.92
2010-03-29,44.66
2010-03-30,44.52
2010-03-31,44.72
2010-04-05,44.3
2010-04-06,44.03
2010-04-07,44.0
2010-04-08,44.27
2010-04-09,43.93
2010-04-12,43.93
2010-04-13,44.2
2010-04-15,43.96
2010-04-16,44.07
2010-04-19,44.18
2010-04-20,44.19
2010-04-21,43.98
2010-04-22,44.03
2010-04-23,44.12
2010-04-26,43.91
2010-04-27,44.03
2010-04-28,44.18
2010-04-29,44.15
2010-04-30,44.02
2010-05-03,44.14
2010-05-04,44.14
2010-05-05,44.45
2010-05-06,44.98
2010-05-07,45.16
2010-05-10,44.54
2010-05-11,44.72
2010-05-12,44.91
2010-05-13,44.57
2010-05-14,44.68
2010-05-17,45.3
2010-05-18,45.12
2010-05-19,45.58
2010-05-20,46.33
2010-05-21,46.53
2010-05-24,46.25
2010-05-25,46.98
2010-05-26,47.15
2010-05-28,46.12
2010-05-31,46.03
2010-06-01,46.27
2010-06-02,46.77
2010-06-03,46.1
2010-06-04,46.25
2010-06-07,46.86
2010-06-08,46.53
2010-06-09,46.55
2010-06-10,46.55
2010-06-11,46.4
2010-06-14,46.15
2010-06-15,46.3
2010-06-16,45.93
2010-06-17,46.08
2010-06-18,45.72
2010-06-21,45.22
2010-06-22,45.62
2010-06-23,45.89
2010-06-24,45.82
2010-06-25,46.12
2010-06-28,45.73
2010-06-29,46.1
2010-06-30,46.18
2010-07-01,46.26
2010-07-02,46.26
2010-07-05,46.27
2010-07-06,46.38
2010-07-07,46.66
2010-07-08,46.43
2010-07-09,46.33
2010-07-12,46.3
2010-07-13,46.51
2010-07-14,46.21
2010-07-15,46.32
2010-07-16,46.38
2010-07-19,46.66
2010-07-20,46.68
2010-07-21,46.83
2010-07-22,46.91
2010-07-23,46.58
2010-07-26,46.44
2010-07-27,46.34
2010-07-28,46.15
2010-07-29,46.21
2010-07-30,46.04
2010-08-02,45.77
2010-08-03,45.8
2010-08-04,45.8
2010-08-05,45.8
2010-08-06,45.6
2010-08-09,45.65
2010-08-10,45.88
2010-08-11,46.12
2010-08-12,46.52
2010-08-13,46.16
2010-08-16,46.36
2010-08-17,46.26
2010-08-18,46.22
2010-08-20,46.16
2010-08-23,46.19
2010-08-24,46.37
2010-08-25,46.51
2010-08-26,46.39
2010-08-27,46.44
2010-08-30,46.42
2010-08-31,46.66
2010-09-01,46.45
2010-09-02,46.36
2010-09-03,46.25
2010-09-06,46.05
2010-09-07,46.29
2010-09-08,46.28
2010-09-09,46.14
2010-09-13,45.89
2010-09-14,45.95
2010-09-15,45.95
2010-09-16,45.88
2010-09-17,45.55
2010-09-20,45.19
2010-09-21,45.3
2010-09-22,45.11
2010-09-23,45.17
2010-09-24,45.12
2010-09-27,44.62
2010-09-28,44.71
2010-09-29,44.5
2010-10-01,44.26
2010-10-04,43.95
2010-10-05,44.3
2010-10-06,43.88
2010-10-07,43.86
2010-10-08,43.96
2010-10-11,43.88
2010-10-12,44.32
2010-10-13,44.08
2010-10-14,43.76
2010-10-15,43.61
2010-10-18,43.84
2010-10-19,44.04
2010-10-20,43.87
2010-10-21,43.94
2010-10-22,44.04
2010-10-25,43.94
