# Consolidated USD->INR SBI TT rates. source=SBI_TTBUY is authoritative (sahilgupta/sbi-fx-ratekeeper).
# xls_mid-0.425 / ECB-0.39 are pre-2020 or SBI-outage ESTIMATES (tt_sell = tt_buy + 0.85 fixed spread). Use exact SBI PDF for filing.
date,tt_buy,tt_sell,source
2010-01-01,46.23,47.08,xls_mid-0.425
2010-01-04,46.09,46.94,xls_mid-0.425
2010-01-05,45.78,46.63,xls_mid-0.425
2010-01-06,45.70,46.55,xls_mid-0.425
2010-01-07,45.45,46.30,xls_mid-0.425
2010-01-08,45.38,46.23,xls_mid-0.425
2010-01-11,44.94,45.79,xls_mid-0.425
2010-01-12,44.98,45.83,xls_mid-0.425
2010-01-13,45.26,46.11,xls_mid-0.425
2010-01-14,45.05,45.90,xls_mid-0.425
2010-01-15,45.25,46.10,xls_mid-0.425
2010-01-18,45.23,46.08,xls_mid-0.425
2010-01-19,45.20,46.05,xls_mid-0.425
2010-01-20,45.53,46.38,xls_mid-0.425
2010-01-21,45.55,46.40,xls_mid-0.425
2010-01-22,45.75,46.60,xls_mid-0.425
2010-01-25,45.76,46.61,xls_mid-0.425
2010-01-27,45.87,46.72,xls_mid-0.425
2010-01-28,45.89,46.74,xls_mid-0.425
2010-01-29,45.95,46.80,xls_mid-0.425
2010-02-01,45.92,46.77,xls_mid-0.425
2010-02-02,45.83,46.68,xls_mid-0.425
2010-02-03,45.62,46.47,xls_mid-0.425
2010-02-04,45.67,46.52,xls_mid-0.425
2010-02-05,46.14,46.99,xls_mid-0.425
2010-02-08,46.39,47.24,xls_mid-0.425
2010-02-09,46.26,47.11,xls_mid-0.425
2010-02-10,46.14,46.99,xls_mid-0.425
2010-02-11,46.04,46.89,xls_mid-0.425
2010-02-15,45.96,46.81,xls_mid-0.425
2010-02-16,45.76,46.61,xls_mid-0.425
2010-02-17,45.60,46.45,xls_mid-0.425
2010-02-18,45.80,46.65,xls_mid-0.425
2010-02-19,46.05,46.90,xls_mid-0.425
2010-02-22,45.73,46.58,xls_mid-0.425
2010-02-23,45.71,46.56,xls_mid-0.425
2010-02-24,45.83,46.68,xls_mid-0.425
2010-02-25,45.94,46.79,xls_mid-0.425
2010-02-26,45.80,46.65,xls_mid-0.425
2010-03-02,45.60,46.45,xls_mid-0.425
2010-03-03,45.48,46.33,xls_mid-0.425
2010-03-04,45.40,46.25,xls_mid-0.425
2010-03-05,45.36,46.21,xls_mid-0.425
2010-03-08,45.01,45.86,xls_mid-0.425
2010-03-09,45.12,45.97,xls_mid-0.425
2010-03-10,44.98,45.83,xls_mid-0.425
2010-03-11,45.05,45.90,xls_mid-0.425
2010-03-12,45.03,45.88,xls_mid-0.425
2010-03-15,45.16,46.01,xls_mid-0.425
2010-03-17,44.98,45.83,xls_mid-0.425
2010-03-18,45.07,45.92,xls_mid-0.425
2010-03-19,45.05,45.90,xls_mid-0.425
2010-03-22,45.07,45.92,xls_mid-0.425
2010-03-23,45.14,45.99,xls_mid-0.425
2010-03-25,45.21,46.06,xls_mid-0.425
2010-03-26,44.92,45.77,xls_mid-0.425
2010-03-29,44.66,45.51,xls_mid-0.425
2010-03-30,44.52,45.37,xls_mid-0.425
2010-03-31,44.72,45.57,xls_mid-0.425
